update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
1180,906240,0.00027283410138248846,495.4,0.71,1.710661,82.7,11151,-0.007716,0.023807,2.89301,0.005405,0.061005,0.549599,0.187119,0.506278,1.891006,1.876482,1.04798,1.018791,0.285386,0.0
1190,913920,0.00027260368663594467,495.5,0.7,1.602632,67.07,11262,-0.008863,0.011941,2.946643,0.005851,0.072144,0.736483,0.010999,0.781668,1.964804,1.937245,1.031943,1.020596,0.129091,0.0
1200,921600,0.0002723732718894009,495.6,0.7,1.667895,86.28,11348,-0.007668,0.012689,2.857946,0.006033,0.079803,0.37995,0.261097,0.363798,1.885181,1.849891,1.008828,1.012793,0.162404,0.0
1210,929280,0.00027214285714285714,495.5,0.64,1.615284,92.26,11436,-0.00881,0.017051,2.834369,0.00513,0.061676,0.714069,0.353464,0.559245,1.833539,1.812594,1.022113,1.009467,0.288564,0.0
1220,936960,0.00027191244239631334,495.2,0.59,1.489066,76.85,11536,-0.009625,0.021455,2.84189,0.005961,0.077759,0.717914,0.257611,0.626574,1.887205,1.839051,1.033639,1.007974,0.228306,0.0
1230,944640,0.00027168202764976955,495.3,0.58,1.491001,87.68,11621,-0.009649,0.037319,2.850987,0.005471,0.069427,0.57954,0.1509,0.514639,1.87984,1.820062,1.020594,1.008846,0.241236,0.0
1240,952320,0.00027145161290322576,495.3,0.72,1.691021,85.43,11711,-0.010155,0.005685,2.874952,0.005671,0.068573,0.755537,0.348778,0.739942,1.902769,1.839668,1.065941,1.029638,0.087928,0.0
1250,960000,0.000271221198156682,495.4,0.76,1.730604,84.54,11800,-0.010221,0.011166,2.890993,0.005969,0.074554,0.597423,0.28527,0.473089,1.912253,1.85243,1.052012,1.029167,0.228387,0.0
1260,967680,0.0002709907834101382,495.5,0.74,1.733667,85.97,11893,-0.007488,0.007666,2.877742,0.005413,0.055389,0.741765,0.027616,0.812079,1.880591,1.871067,1.03181,1.003763,0.136573,0.0
1270,975360,0.00027076036866359443,495.5,0.75,1.680895,76.95,11990,-0.009681,0.020012,2.913527,0.006129,0.072235,0.66411,0.154249,0.612385,1.924529,1.912524,1.029546,1.000573,0.074859,0.0
