ticks,seconds,ball_x,presser,path_m,net_m,any_engaged
15,0.6,52.27992,Away_26,1.137282878997749,1.128106378671804,True
29,1.16,49.518905172413795,Away_28,2.997715826000142,2.8613595455482397,True
69,2.76,66.39063260869565,Away_21,13.28262348805085,13.088459872609155,True
100,4.0,86.06742899999999,Away_27,10.848172162835294,4.740294567313311,True
4,0.16,46.90665,Away_23,0.15874918162397492,0.15874768943200396,True
10,0.4,55.867560000000005,Away_28,0.5160301110551611,0.515974071538475,True
10,0.4,66.80772,Away_21,0.2964344128485648,0.29552042839709786,True
10,0.4,75.16383,Away_15,0.5377134352202338,0.5312103090114028,True
34,1.36,49.13885735294118,Away_27,10.245854544768624,10.242676628870015,True
37,1.48,94.87896486486486,Away_15,2.3217484775055186,1.8744244557730068,True
27,1.08,52.29773888888889,Away_27,4.113292257302864,4.045764907455696,True
63,2.52,46.61835000000001,Away_28,5.8221187342838725,3.0294654113225947,True
39,1.56,46.137161538461534,Away_23,3.1291180900774607,2.291938557291622,True
12,0.48,45.2454625,Away_28,1.6349773229085718,1.6347633568501607,True
5,0.2,46.66494,Away_28,0.3230082693691048,0.32265503622289976,True
36,1.44,50.054316666666665,Away_20,2.6703887088264135,2.409750863491911,True
9,0.36,48.13993333333334,Away_26,0.17538484699818035,0.17463924072214082,True
14,0.56,50.895375,Away_18,1.564049511112417,1.5620759367265067,True
20,0.8,58.6724775,Away_17,2.12550622827804,2.099721694153784,True
23,0.92,48.93693913043479,Away_21,2.394977460622328,2.370326770721695,True
17,0.68,94.18629705882353,Away_21,4.062307274932091,4.0614821502623775,True
15,0.6,66.29826,Home_5,2.4479981854262753,2.447775408079751,True
54,2.16,67.01031944444445,Home_1,9.663939552489916,9.190354891956012,True
11,0.44,56.211559090909084,Home_5,0.6315884424352693,0.6213724680897937,True
14,0.56,47.29965,Home_8,0.4715697046802516,0.4621555765107715,True
11,0.44,50.38682727272727,Home_7,1.208524403973452,1.19803318322156,True
45,1.8,47.465156666666665,Home_10,5.987274933529566,5.987247493832203,True
33,1.32,66.34918181818182,Home_5,3.1561221799400365,2.9323105173224673,True
28,1.12,48.405525000000004,Home_5,5.495273386604381,5.355320317740113,True
1,0.04,67.97385,Home_8,0.0,0.0,True
7,0.28,72.0279,Home_4,1.225147108991697,1.2251384709085003,True
14,0.56,45.58305,Home_6,0.9667717833799313,0.964799189261682,True
16,0.64,82.615640625,Home_2,3.505562140886214,3.505450341168748,True
10,0.4,92.20207500000001,Home_3,2.8235639958570538,2.8231699035658533,True
31,1.24,74.98503870967743,Home_8,1.8569958143513925,1.505585263244822,True
55,2.2,79.01156454545455,Home_7,8.823912913181555,8.762775621365636,True
47,1.88,76.35492765957447,Home_7,4.948620490098304,2.9486466929762845,True
33,1.32,84.60549999999999,Home_7,4.622454346995855,4.291105117565864,True
10,0.4,93.46858499999999,Home_3,0.5453362389552693,0.5440082397353923,True
12,0.48,89.71768750000001,Home_2,2.348211849309683,2.3239828314555084,True
8,0.32,94.68781874999999,Home_3,2.0612847669888112,2.061214751063069,True
14,0.56,79.901775,Home_9,2.266077168484602,2.215079706940586,True
40,1.6,48.649886249999994,Home_9,6.155254777060362,5.944008862787808,True
11,0.44,50.63214545454545,Home_7,1.7784364109033968,1.7719564848212244,True
33,1.32,53.215622727272724,Home_8,5.279066249382656,5.149744911362122,True
9,0.36,97.09875,Home_2,1.274411010396498,1.2707862860843366,True
6,0.24,100.46820000000001,Home_1,1.127557444371881,1.1273873577435551,True
18,0.72,49.44514166666667,Home_7,1.3125623974152978,1.31124730394385,True
12,0.48,55.6941875,Home_4,0.23852480236361018,0.2383421593004488,True
36,1.44,55.084925,Home_7,3.8915628419197867,3.6652150168987347,True
11,0.44,56.93033181818182,Home_10,0.46095028339791155,0.4585018657541109,True
39,1.56,80.10210384615385,Home_3,8.047841022519888,7.972963648537476,True
16,0.64,91.19355,Home_2,4.879462106670063,4.877470612889426,True
65,2.6,57.63000923076923,Home_7,5.563623145105152,3.804898060605567,True
68,2.72,65.79480661764705,Home_8,5.163109185707045,1.5388885833938701,True
16,0.64,61.950853125,Home_7,0.44642229361150615,0.3272499999999951,True
14,0.56,64.83435,Home_10,0.09957538275056055,0.08736462041353006,True
24,0.96,67.947075,Home_7,3.9657487499963473,3.964858881233976,True
24,0.96,70.66836875,Home_6,2.3815766040771638,2.3619887654474567,True
14,0.56,70.675275,Home_8,1.8573480479423672,1.855357975189681,True
18,0.72,68.32350000000001,Home_5,2.9032175181476765,2.8676618437326233,True
41,1.64,81.05451951219511,Home_1,6.12145097311117,5.734745144128023,True
47,1.88,94.74275106382979,Home_2,9.657056856357853,9.579633728885458,True
17,0.68,50.77657941176471,Home_10,1.6681559705490534,1.647283691414443,True
54,2.16,57.87813888888889,Home_7,7.4739760784024485,7.445428069419516,True
37,1.48,62.42142162162162,Home_5,2.7696974975792163,2.738540159446276,True
9,0.36,64.34913333333333,Home_6,1.0842532383327248,1.084012991804069,True
17,0.68,59.20165588235294,Home_9,1.037892404029082,1.008338460042061,True
38,1.52,54.66543157894737,Home_10,5.458298122613947,5.292058445718455,True
56,2.24,76.71202500000001,Home_8,5.133973448411744,3.6176414820846996,True
38,1.52,73.91497105263159,Home_7,6.134087343992643,5.979173779043382,True
13,0.52,80.43298846153847,Home_6,0.84724636997823,0.8469749701142242,True
26,1.04,76.7765653846154,Home_7,2.868543552951011,2.807339580741872,True
67,2.68,74.89264477611941,Home_8,6.245280695707505,5.797003298256768,True
11,0.44,73.10529545454546,Home_6,0.8157677064144011,0.8150365343958441,True
23,0.92,79.03267826086957,Home_8,2.8430623315589663,2.8330608805495108,True
50,2.0,86.386587,Home_4,8.108127556603025,7.461121445573715,True
