policy,x,y,radius,episode,arrived,max_control
random,82.0,34.0,12.0,24,0,
random,84.0,34.0,6.0,24,0,
random,84.0,34.0,8.0,24,0,
random,84.0,34.0,10.0,24,0,
random,84.0,34.0,12.0,24,0,
random,86.0,34.0,6.0,24,0,
random,86.0,34.0,8.0,24,0,
random,86.0,34.0,10.0,24,0,
random,86.0,34.0,12.0,24,0,
random,88.0,34.0,6.0,24,0,
random,88.0,34.0,8.0,24,0,
random,88.0,34.0,10.0,24,0,
random,88.0,34.0,12.0,24,0,
random,82.0,34.0,6.0,25,0,
random,82.0,34.0,8.0,25,0,
random,82.0,34.0,10.0,25,0,
random,82.0,34.0,12.0,25,0,
random,84.0,34.0,6.0,25,0,
random,84.0,34.0,8.0,25,0,
random,84.0,34.0,10.0,25,0,
random,84.0,34.0,12.0,25,0,
random,86.0,34.0,6.0,25,0,
random,86.0,34.0,8.0,25,0,
random,86.0,34.0,10.0,25,0,
random,86.0,34.0,12.0,25,0,
random,88.0,34.0,6.0,25,0,
random,88.0,34.0,8.0,25,0,
random,88.0,34.0,10.0,25,0,
random,88.0,34.0,12.0,25,0,
random,82.0,34.0,6.0,26,0,
random,82.0,34.0,8.0,26,0,
random,82.0,34.0,10.0,26,0,
random,82.0,34.0,12.0,26,0,
random,84.0,34.0,6.0,26,0,
random,84.0,34.0,8.0,26,0,
random,84.0,34.0,10.0,26,0,
random,84.0,34.0,12.0,26,0,
random,86.0,34.0,6.0,26,0,
random,86.0,34.0,8.0,26,0,
random,86.0,34.0,10.0,26,0,
random,86.0,34.0,12.0,26,0,
random,88.0,34.0,6.0,26,0,
random,88.0,34.0,8.0,26,0,
random,88.0,34.0,10.0,26,0,
random,88.0,34.0,12.0,26,0,
random,82.0,34.0,6.0,27,0,
random,82.0,34.0,8.0,27,0,
random,82.0,34.0,10.0,27,0,
random,82.0,34.0,12.0,27,1,0.174421
random,84.0,34.0,6.0,27,0,
random,84.0,34.0,8.0,27,0,
random,84.0,34.0,10.0,27,0,
random,84.0,34.0,12.0,27,0,
random,86.0,34.0,6.0,27,0,
random,86.0,34.0,8.0,27,0,
random,86.0,34.0,10.0,27,0,
random,86.0,34.0,12.0,27,0,
random,88.0,34.0,6.0,27,0,
random,88.0,34.0,8.0,27,0,
random,88.0,34.0,10.0,27,0,
random,88.0,34.0,12.0,27,0,
random,82.0,34.0,6.0,28,0,
random,82.0,34.0,8.0,28,0,
random,82.0,34.0,10.0,28,0,
random,82.0,34.0,12.0,28,0,
random,84.0,34.0,6.0,28,0,
random,84.0,34.0,8.0,28,0,
random,84.0,34.0,10.0,28,0,
random,84.0,34.0,12.0,28,0,
random,86.0,34.0,6.0,28,0,
random,86.0,34.0,8.0,28,0,
random,86.0,34.0,10.0,28,0,
random,86.0,34.0,12.0,28,0,
random,88.0,34.0,6.0,28,0,
random,88.0,34.0,8.0,28,0,
random,88.0,34.0,10.0,28,0,
random,88.0,34.0,12.0,28,0,
random,82.0,34.0,6.0,29,0,
random,82.0,34.0,8.0,29,0,
random,82.0,34.0,10.0,29,0,
random,82.0,34.0,12.0,29,0,
random,84.0,34.0,6.0,29,0,
random,84.0,34.0,8.0,29,0,
random,84.0,34.0,10.0,29,0,
random,84.0,34.0,12.0,29,0,
random,86.0,34.0,6.0,29,0,
random,86.0,34.0,8.0,29,0,
random,86.0,34.0,10.0,29,0,
random,86.0,34.0,12.0,29,0,
random,88.0,34.0,6.0,29,0,
random,88.0,34.0,8.0,29,0,
random,88.0,34.0,10.0,29,0,
random,88.0,34.0,12.0,29,0,
random,82.0,34.0,6.0,30,0,
random,82.0,34.0,8.0,30,0,
random,82.0,34.0,10.0,30,0,
random,82.0,34.0,12.0,30,0,
random,84.0,34.0,6.0,30,0,
random,84.0,34.0,8.0,30,0,
random,84.0,34.0,10.0,30,0,
random,84.0,34.0,12.0,30,1,0.111981
random,86.0,34.0,6.0,30,0,
random,86.0,34.0,8.0,30,0,
random,86.0,34.0,10.0,30,0,
random,86.0,34.0,12.0,30,1,0.094083
random,88.0,34.0,6.0,30,0,
random,88.0,34.0,8.0,30,0,
random,88.0,34.0,10.0,30,0,
random,88.0,34.0,12.0,30,1,0.08325
random,82.0,34.0,6.0,31,0,
random,82.0,34.0,8.0,31,0,
random,82.0,34.0,10.0,31,0,
random,82.0,34.0,12.0,31,0,
random,84.0,34.0,6.0,31,0,
random,84.0,34.0,8.0,31,0,
random,84.0,34.0,10.0,31,0,
random,84.0,34.0,12.0,31,0,
random,86.0,34.0,6.0,31,0,
random,86.0,34.0,8.0,31,0,
random,86.0,34.0,10.0,31,0,
random,86.0,34.0,12.0,31,0,
random,88.0,34.0,6.0,31,0,
random,88.0,34.0,8.0,31,0,
random,88.0,34.0,10.0,31,0,
random,88.0,34.0,12.0,31,0,
random,82.0,34.0,6.0,32,0,
random,82.0,34.0,8.0,32,0,
random,82.0,34.0,10.0,32,0,
random,82.0,34.0,12.0,32,0,
random,84.0,34.0,6.0,32,0,
random,84.0,34.0,8.0,32,0,
random,84.0,34.0,10.0,32,0,
random,84.0,34.0,12.0,32,0,
random,86.0,34.0,6.0,32,0,
random,86.0,34.0,8.0,32,0,
random,86.0,34.0,10.0,32,0,
random,86.0,34.0,12.0,32,0,
random,88.0,34.0,6.0,32,0,
random,88.0,34.0,8.0,32,0,
random,88.0,34.0,10.0,32,0,
random,88.0,34.0,12.0,32,0,
random,82.0,34.0,6.0,33,1,0.07044
random,82.0,34.0,8.0,33,1,0.1159
random,82.0,34.0,10.0,33,1,0.170209
random,82.0,34.0,12.0,33,1,0.146855
random,84.0,34.0,6.0,33,0,
random,84.0,34.0,8.0,33,1,0.071314
random,84.0,34.0,10.0,33,1,0.092094
random,84.0,34.0,12.0,33,1,0.124957
random,86.0,34.0,6.0,33,0,
random,86.0,34.0,8.0,33,0,
random,86.0,34.0,10.0,33,1,0.05378
random,86.0,34.0,12.0,33,1,0.067656
random,88.0,34.0,6.0,33,0,
random,88.0,34.0,8.0,33,0,
random,88.0,34.0,10.0,33,0,
random,88.0,34.0,12.0,33,1,0.039637
random,82.0,34.0,6.0,34,0,
random,82.0,34.0,8.0,34,0,
random,82.0,34.0,10.0,34,0,
random,82.0,34.0,12.0,34,1,0.114998
random,84.0,34.0,6.0,34,0,
random,84.0,34.0,8.0,34,0,
random,84.0,34.0,10.0,34,0,
random,84.0,34.0,12.0,34,1,0.113241
random,86.0,34.0,6.0,34,0,
random,86.0,34.0,8.0,34,0,
random,86.0,34.0,10.0,34,1,0.085564
random,86.0,34.0,12.0,34,1,0.111704
random,88.0,34.0,6.0,34,0,
random,88.0,34.0,8.0,34,0,
random,88.0,34.0,10.0,34,1,0.12318
random,88.0,34.0,12.0,34,1,0.123788
random,82.0,34.0,6.0,35,0,
random,82.0,34.0,8.0,35,1,0.123339
random,82.0,34.0,10.0,35,1,0.138255
random,82.0,34.0,12.0,35,1,0.188991
random,84.0,34.0,6.0,35,0,
random,84.0,34.0,8.0,35,0,
random,84.0,34.0,10.0,35,1,0.118227
random,84.0,34.0,12.0,35,1,0.114192
random,86.0,34.0,6.0,35,0,
random,86.0,34.0,8.0,35,0,
random,86.0,34.0,10.0,35,0,
random,86.0,34.0,12.0,35,1,0.093435
random,88.0,34.0,6.0,35,0,
random,88.0,34.0,8.0,35,0,
random,88.0,34.0,10.0,35,0,
random,88.0,34.0,12.0,35,0,
random,82.0,34.0,6.0,36,0,
random,82.0,34.0,8.0,36,1,0.301012
random,82.0,34.0,10.0,36,1,0.299094
random,82.0,34.0,12.0,36,1,0.293018
random,84.0,34.0,6.0,36,0,
random,84.0,34.0,8.0,36,1,0.33151
random,84.0,34.0,10.0,36,1,0.30514
random,84.0,34.0,12.0,36,1,0.285111
random,86.0,34.0,6.0,36,0,
random,86.0,34.0,8.0,36,0,
random,86.0,34.0,10.0,36,1,0.320204
random,86.0,34.0,12.0,36,1,0.283398
random,88.0,34.0,6.0,36,0,
random,88.0,34.0,8.0,36,0,
random,88.0,34.0,10.0,36,1,0.316271
random,88.0,34.0,12.0,36,1,0.279001
random,82.0,34.0,6.0,37,0,
random,82.0,34.0,8.0,37,0,
random,82.0,34.0,10.0,37,0,
random,82.0,34.0,12.0,37,0,
random,84.0,34.0,6.0,37,0,
random,84.0,34.0,8.0,37,0,
random,84.0,34.0,10.0,37,0,
random,84.0,34.0,12.0,37,0,
random,86.0,34.0,6.0,37,0,
random,86.0,34.0,8.0,37,0,
random,86.0,34.0,10.0,37,0,
random,86.0,34.0,12.0,37,0,
random,88.0,34.0,6.0,37,0,
random,88.0,34.0,8.0,37,0,
random,88.0,34.0,10.0,37,0,
random,88.0,34.0,12.0,37,0,
random,82.0,34.0,6.0,38,0,
random,82.0,34.0,8.0,38,0,
random,82.0,34.0,10.0,38,0,
random,82.0,34.0,12.0,38,0,
random,84.0,34.0,6.0,38,0,
random,84.0,34.0,8.0,38,0,
random,84.0,34.0,10.0,38,0,
random,84.0,34.0,12.0,38,0,
random,86.0,34.0,6.0,38,0,
random,86.0,34.0,8.0,38,0,
random,86.0,34.0,10.0,38,0,
random,86.0,34.0,12.0,38,0,
random,88.0,34.0,6.0,38,0,
random,88.0,34.0,8.0,38,0,
random,88.0,34.0,10.0,38,0,
random,88.0,34.0,12.0,38,0,
random,82.0,34.0,6.0,39,0,
random,82.0,34.0,8.0,39,0,
random,82.0,34.0,10.0,39,0,
random,82.0,34.0,12.0,39,1,0.10077
random,84.0,34.0,6.0,39,0,
random,84.0,34.0,8.0,39,0,
random,84.0,34.0,10.0,39,0,
random,84.0,34.0,12.0,39,0,
random,86.0,34.0,6.0,39,0,
random,86.0,34.0,8.0,39,0,
random,86.0,34.0,10.0,39,0,
random,86.0,34.0,12.0,39,0,
random,88.0,34.0,6.0,39,0,
random,88.0,34.0,8.0,39,0,
random,88.0,34.0,10.0,39,0,
random,88.0,34.0,12.0,39,0,
random,82.0,34.0,6.0,40,0,
random,82.0,34.0,8.0,40,0,
random,82.0,34.0,10.0,40,0,
random,82.0,34.0,12.0,40,0,
random,84.0,34.0,6.0,40,0,
random,84.0,34.0,8.0,40,0,
random,84.0,34.0,10.0,40,0,
random,84.0,34.0,12.0,40,0,
random,86.0,34.0,6.0,40,0,
random,86.0,34.0,8.0,40,0,
random,86.0,34.0,10.0,40,0,
random,86.0,34.0,12.0,40,0,
random,88.0,34.0,6.0,40,0,
random,88.0,34.0,8.0,40,0,
random,88.0,34.0,10.0,40,0,
random,88.0,34.0,12.0,40,0,
random,82.0,34.0,6.0,41,0,
random,82.0,34.0,8.0,41,0,
random,82.0,34.0,10.0,41,0,
random,82.0,34.0,12.0,41,0,
random,84.0,34.0,6.0,41,0,
random,84.0,34.0,8.0,41,0,
random,84.0,34.0,10.0,41,0,
random,84.0,34.0,12.0,41,0,
random,86.0,34.0,6.0,41,0,
random,86.0,34.0,8.0,41,0,
