seed,outcome,ticks,passes,passes_in_disc,mean_pass_len,dwell_ticks,spread_mean,spread_final,n_in_disc_mean,n_in_disc_final,n_in_disc_max,zc_mean,zc_final,carrier_clear_mean,speed_mean,possession_rate,slow,crowd_disc,crowd_near,tight,zone_dwell,press,offside,stall,policy
10146,failure,118,12,0,8.118621751261573,0,15.074563424700495,16.923270883832963,0.06779661016949153,1.0,2.0,0.11791338562971312,0.5149843096733093,5.009490575223026,1.3006741685652083,0.09322033898305085,0.8398305084745763,0.0,0.05084745762711865,0.0,0.0,0.025423728813559324,0.0,0.3728813559322034,vanilla_10m_cuda_rung2/final
10147,failure,138,9,0,17.81379123707451,0,17.743002963291882,18.48228346563905,0.0,0.0,0.0,0.15075094023368496,0.5302889347076416,4.9837661868527015,1.1364097790516552,0.07246376811594203,0.8565217391304348,0.0,0.0,0.0,0.0,0.007246376811594203,0.028985507246376812,0.34057971014492755,vanilla_10m_cuda_rung2/final
10148,success,109,10,1,9.996216900886708,6,16.797414026673184,17.718645297178238,0.8165137614678899,3.0,3.0,0.19045037117043356,0.530649721622467,6.293686450765207,1.1331205432912432,0.09174311926605505,0.8972477064220185,0.0,0.045871559633027525,0.0,0.05504587155963303,0.01834862385321101,0.0,0.3302752293577982,vanilla_10m_cuda_rung2/final
10149,success,83,12,1,4.764138388297935,3,16.63081451078933,16.761240333862975,0.10843373493975904,2.0,2.0,0.10945290512214582,0.4041301906108856,2.9483583699525693,1.3554783304606162,0.1566265060240964,0.8253012048192773,0.0,0.0,0.0,0.03614457831325301,0.10843373493975904,0.0,0.07228915662650602,vanilla_10m_cuda_rung2/final
10150,success,74,9,0,5.754170240373583,7,11.889321099849852,12.211017236949026,0.972972972972973,3.0,3.0,0.2938231314356263,0.44397222995758057,2.810793910349068,1.044204187852196,0.14864864864864866,0.9108108108108108,0.0,0.06756756756756757,0.0,0.0945945945945946,0.08108108108108109,0.0,0.20270270270270271,vanilla_10m_cuda_rung2/final
10151,success,55,5,0,10.616189349107538,2,18.188519429385313,18.278305146159152,0.2545454545454545,2.0,2.0,0.14905737865377555,0.4596601724624634,3.6045875535753127,1.195762813952309,0.09090909090909091,0.8527272727272726,0.0,0.0,0.0,0.03636363636363636,0.05454545454545454,0.0,0.12727272727272726,vanilla_10m_cuda_rung2/final
10152,failure,69,3,0,30.281064519168307,0,21.53898896903827,21.419624038654177,2.0869565217391304,3.0,3.0,0.4603850828564685,0.5829456448554993,13.817806375219083,1.1763266681273814,0.043478260869565216,0.8463768115942027,0.0,0.0,0.0,0.0,0.014492753623188406,0.36231884057971014,0.2608695652173913,vanilla_10m_cuda_rung2/final
10153,success,68,6,0,10.02114682646362,4,17.069997183804933,18.19502336147606,0.22058823529411764,1.0,1.0,0.19815571162411394,0.5348248481750488,3.5919220655760595,1.1517139320974195,0.11764705882352941,0.8602941176470588,0.0,0.0,0.0,0.058823529411764705,0.04411764705882353,0.0,0.1323529411764706,vanilla_10m_cuda_rung2/final
10154,success,131,14,7,7.631541929244769,43,20.087710990861716,18.882495996381873,1.9618320610687023,4.0,4.0,0.3229328912633066,0.40326759219169617,4.1933035735182616,1.1256745415791714,0.1297709923664122,0.9015267175572519,0.1984732824427481,0.0,0.0,0.3282442748091603,0.03816793893129771,0.0,0.3511450381679389,vanilla_10m_cuda_rung2/final
10155,success,109,10,4,10.151577111261515,31,14.683113907129943,14.68576880014964,2.036697247706422,4.0,4.0,0.35877786385356836,0.48445090651512146,6.182938865464273,1.018618420193928,0.09174311926605505,0.922935779816514,0.045871559633027525,0.0,0.0,0.28440366972477066,0.009174311926605505,0.12844036697247707,0.3669724770642202,vanilla_10m_cuda_rung2/final
10156,success,101,8,2,12.688435564827174,23,15.573291805925036,14.9232040861498,1.4257425742574257,2.0,2.0,0.26673197864305853,0.47911205887794495,3.536108464716774,1.3833316535553157,0.07920792079207921,0.7940594059405941,0.0,0.0,0.0,0.22772277227722773,0.04950495049504951,0.1485148514851485,0.26732673267326734,vanilla_10m_cuda_rung2/final
10157,success,89,6,0,16.24216697417932,1,17.49517347129565,18.77226007215239,0.8876404494382022,3.0,3.0,0.20040384281342954,0.594921350479126,9.414288040345387,1.079253097365192,0.07865168539325842,0.912359550561798,0.0,0.0,0.0,0.011235955056179775,0.02247191011235955,0.0,0.34831460674157305,vanilla_10m_cuda_rung2/final
10158,success,25,1,0,34.52550659493138,3,18.03715542267663,17.665586781993166,2.0,2.0,2.0,0.5098242473602295,0.6130474209785461,7.774034505863069,1.0694692606879175,0.04,0.9119999999999999,0.0,0.0,0.0,0.12,0.0,0.32,0.0,vanilla_10m_cuda_rung2/final
10159,success,109,7,0,17.786782078372237,4,19.617782011317598,18.18322252512562,1.614678899082569,3.0,3.0,0.35699240234466867,0.48253893852233887,7.536478135592488,1.2601266012270462,0.06422018348623854,0.8339449541284407,0.0,0.0,0.0,0.03669724770642202,0.009174311926605505,0.3853211009174312,0.45871559633027525,vanilla_10m_cuda_rung2/final
10160,failure,105,13,2,6.901493299439969,9,19.956664624349944,19.38560894335895,0.2571428571428571,0.0,1.0,0.1370856702505123,0.05756315216422081,2.260835424739132,1.151909470469449,0.11428571428571428,0.8704761904761905,0.0,0.0,0.0,0.08571428571428572,0.0761904761904762,0.0,0.34285714285714286,vanilla_10m_cuda_rung2/final
